phase,main_output,status,supported_claim,caveat,next_action
1A,data/processed/sparc/sparc_rotmod_standardized.csv,complete,Standardized SPARC rotmod ingestion for downstream analysis,Raw rotmod not modified in later phases,None for controlled subset; full catalog deferred
1B,outputs/tables/sparc_subset_selection.csv,complete,"Deterministic six-galaxy controlled subset (DDO154, IC2574, NGC2403, NGC3198, NGC6503, NGC7814)",Subset selection is not a random SPARC sample,Document any future expansion criteria before adding galaxies
2A,outputs/tables/sparc_subset_tau_profiles.csv,complete,Direct radial τ reconstruction (claim A; diagnostic only),"Diagnostic reconstruction, not fitted knot model",Optional 2D τ-map deferred
3A,outputs/tables/sparc_baseline_comparison.csv,complete,"Baryonic-only, NFW, Burkert baseline fits on subset",Legacy linear bounds superseded by 3A-R for halos,Use refit tables for publication numbers
3A-R,outputs/tables/sparc_baseline_comparison_refit.csv,complete,Log-space multistart NFW/Burkert refit,Halo degeneracy may persist,Monitor boundary-limited fits in audits
3M,outputs/tables/sparc_mond_comparison.csv,complete,MOND/RAR empirical rotation-curve baselines,"MOND is empirical baseline, not cosmology claim",None within subset
3B,outputs/tables/sparc_full_model_comparison.csv,complete,TDF 3/4/5-knot in-sample comparison (claim B with caveat),Often tdf_5knot wins in-sample; tdf_4knot pathological on NGC7814,Lead with tdf_3knot for conservative claims
3C,outputs/tables/sparc_tdf_holdout_validation.csv,complete,5 of 6 holdout success; even/odd split (claim C partial),NGC7814 canonical failure; fixed K_tau,Phase 4L K_tau audit documents normalization sensitivity
4A,outputs/tables/sparc_failure_mode_summary.csv,complete,Per-galaxy failure-mode classification; claim traceability A–H,NGC7814 retained as tdf_failure_mode,Use updated matrix through claim Q
4B,docs/results_summary.md; sparc_publication_summary_table.csv,complete,Paper-ready controlled-subset summary and publication table,Documentation layer; numbers from 3B/3C,Superseded by 4M final audit for external handoff
4C,outputs/tables/sparc_normalized_tau_pattern_summary.csv,complete,Normalized τ-pattern similarity and outlier scores,NGC7814 outlier in pattern space; not universal τ law,No universal τ-profile claim
4D,docs/ngc7814_failure_mode.md,complete,NGC7814 structural/holdout/pattern diagnostics (claim D not supported),Canonical tdf_3knot failure at M/L=1,Cross-reference photometry context (4J–4K)
4E,outputs/tables/sparc_holdout_residuals.csv,complete,Per-point holdout residual localization,Inner-region failure on NGC7814 for tdf_3knot,Use for failure-map figures only
4F,outputs/tables/sparc_ml_sensitivity_summary.csv,complete,Diagnostic M/L grid; NGC7814 baryonic sensitivity (claim J),TDF-only scaling in 4F; NFW/MOND not re-scaled,Superseded by 4G fair comparison for baselines
4G,outputs/tables/sparc_ml_scaled_model_comparison.csv,complete,Fair scaled TDF/NFW/MOND holdout on same M/L grid,Diagnostic grid; claim L not supported (baselines improve too),Input to prior-weighting phases
4H,outputs/tables/sparc_claim_traceability_matrix_updated.csv,complete,Post-M/L claim reconciliation (claims I–N),No new fits,Extend with O–Q in final claims table
4I,outputs/tables/sparc_ml_prior_weighted_summary.csv,complete,Diagnostic placeholder prior scaffold (claim O),Not photometry-calibrated,Superseded by 4K photometry-informed weights
4I-Audit,outputs/reports/ml_prior_weighting_audit_report.md,complete,Layered NGC7814 interpretation (tdf_3knot vs tdf_5knot),tdf_5knot can win weighted cells without primary recovery,Cite audit when using prior language
4J,data/processed/sparc/sparc_photometry_metadata.csv,complete,SPARC Table-1 metadata for prior scaffolding (claim P context),No final M/L calibration,Ingest explicit bulge L_3.6 when available
4K,outputs/tables/sparc_photometry_informed_prior_weights.csv,complete,Photometry-informed diagnostic prior weights (claim Q not supported),tdf_5knot diagnostic recovery on NGC7814 under some scenarios,Do not claim calibrated M/L
4L,outputs/tables/sparc_ktau_sensitivity_summary.csv,complete,"K_tau sensitivity on 4K harness; qualitative claims stable over {0.5,1,2}",K_tau not measured or fitted; partial degeneracy with amplitudes,Optional extreme K_tau via --include-optional-ktau
4M,outputs/reports/sparc_controlled_subset_final_audit_report.md,complete,"On the controlled six-galaxy SPARC subset, TDF knot models show robust rotation-curve consistency in five galaxies, while NGC7814 remains a canonical tdf_3knot failure under fixed baryons. The NGC7814 failure is strongly baryonic-decomposition-sensitive, and tdf_5knot shows diagnostic recovery under some photometry-informed prior scenarios, but this is not a final M/L calibration.",This benchmark does not disprove dark matter.; Results do not replace ΛCDM as a cosmological framework.; Scope is a controlled six-galaxy subset only — not full-SPARC validation.; see full caveat list,Controlled subset expansion or full SPARC only after frozen claim review
