audit_version,cohort,galaxy_id,cohort_role,l1_rotation_available,n_radial_points,r_min_kpc,r_max_kpc,radial_coverage_kpc,v_obs_available,v_err_available,l2_baryonic_available,v_bar_available,v_gas_available,v_disk_available,v_bulge_available,missing_baryonic_component_flag,baryonic_sufficient_for_scaffold,l3_frozen_tdf_available,frozen_tdf_3knot_profile_exists,frozen_tau_profile_available,frozen_dtaudr_available,frozen_K_tau_value,K_g_config_value,K_g_matches_frozen_K_tau,failure_mode_classification,counts_as_primary_success_expansion20,tdf_3knot_holdout_rmse_kms,holdout_stable_for_primary_pilot,holdout_status,l4_geometry_available,geometry_complete_flag,distance_mpc,inclination_deg,position_angle_available,morphological_type,disk_scale_length_kpc,luminosity_3p6_lsun,photometry_metadata_available,axisymmetric_pseudo_2d_attemptable,l5_surface_brightness_metadata,sb_disk_profile_points,sb_bulge_profile_points,sparc_photometry_metadata_available,true_2d_pixel_map_available,map_type_axisymmetric_pseudo_2d,map_type_sky_projected,map_type_true_2d_sigma_b,map_type_deflection_lensing_proxy,surface_brightness_1d_profile,true_2d_status,lensing_status,l6_second_channel_lensing_data,max_abs_dtaudr,max_dtaudr_adjacent_jump_rel,dtaudr_jump_within_threshold,median_v_err_kms,selection_rank_expansion20,primary_pilot_eligible,pilot_tier,is_primary_pilot,pilot_rank_score,claim_no_dm_disproof,claim_no_full_sparc_validation,claim_no_lensing_confirmation,claim_no_universal_tau_profile,claim_no_true_2d_without_2d_data,claim_phase6_separate_from_phase5_15_of_20,notes
phase_6b_v1,expansion_20,DDO154,original_controlled_six,True,12,0.49,5.92,5.43,True,True,True,True,True,True,False,False,True,True,True,True,True,1.0,1.0,True,robust_tdf_success,True,2.028159188371044,True,robust_tdf_success,True,True,4.04,64.0,False,10.0,0.37,0.053,True,True,True,12,12,True,False,attemptable,attemptable,future_only,future_only,available,future_only,future_only_not_confirmed,False,478.9372972972973,2.957122831076834,False,0.55,1.0,True,tier_1_primary_candidate,False,0.5423020732594304,True,True,True,True,True,True,
phase_6b_v1,expansion_20,DDO161,expansion_addition,True,31,0.6,13.37,12.77,True,True,True,True,True,True,False,False,True,True,True,True,True,1.0,1.0,True,robust_tdf_success,True,0.7151289715446965,True,robust_tdf_success,True,True,7.5,70.0,False,10.0,1.22,0.548,True,True,True,31,31,True,False,attemptable,attemptable,future_only,future_only,available,future_only,future_only_not_confirmed,False,314.4619944598338,10.845160056267984,False,2.09,17.0,True,tier_1_primary_candidate,True,0.7247997987505764,True,True,True,True,True,True,Phase 6B ranked primary pilot (top 5 tier-1).
phase_6b_v1,expansion_20,IC2574,original_controlled_six,True,34,0.85,10.23,9.38,True,True,True,True,True,True,False,False,True,True,True,True,True,1.0,1.0,True,robust_tdf_success,True,2.9793596786436685,True,robust_tdf_success,True,True,3.91,75.0,False,9.0,2.78,1.016,True,True,True,34,34,True,False,attemptable,attemptable,future_only,future_only,available,future_only,future_only_not_confirmed,False,342.8233215962441,2.4157510956888206,False,2.1,2.0,True,tier_1_primary_candidate,True,0.6226680166763582,True,True,True,True,True,True,Phase 6B ranked primary pilot (top 5 tier-1).
phase_6b_v1,expansion_20,NGC0289,expansion_addition,True,28,1.5,71.12,69.62,True,True,True,True,True,True,False,False,True,True,True,True,True,1.0,1.0,True,robust_tdf_success,True,19.81141504643472,False,robust_tdf_success,True,True,20.8,46.0,False,4.0,6.74,72.065,True,True,True,28,28,True,False,attemptable,attemptable,future_only,future_only,available,future_only,future_only_not_confirmed,False,5433.940357142854,1.3913534518817898,False,6.77,13.0,False,tier_2_diagnostic,False,,True,True,True,True,True,True,
phase_6b_v1,expansion_20,NGC2403,original_controlled_six,True,73,0.16,20.87,20.71,True,True,True,True,True,True,False,False,True,True,True,True,True,1.0,1.0,True,robust_tdf_success,True,8.658875535895875,True,robust_tdf_success,True,True,3.16,63.0,False,6.0,1.39,10.041,True,True,True,73,73,True,False,attemptable,attemptable,future_only,future_only,available,future_only,future_only_not_confirmed,False,1117.101086956521,116.12457983963476,False,1.8,3.0,True,tier_1_primary_candidate,True,0.6037136923872465,True,True,True,True,True,True,Phase 6B ranked primary pilot (top 5 tier-1).
phase_6b_v1,expansion_20,NGC3198,original_controlled_six,True,43,0.32,44.08,43.76,True,True,True,True,True,True,False,False,True,True,True,True,True,1.0,1.0,True,robust_tdf_success,True,10.447553817928686,False,robust_tdf_success,True,True,13.8,73.0,False,5.0,3.14,38.279,True,True,True,43,43,True,False,attemptable,attemptable,future_only,future_only,available,future_only,future_only_not_confirmed,False,10653.12,5.66796633383382,False,2.36,4.0,False,tier_2_diagnostic,False,,True,True,True,True,True,True,
phase_6b_v1,expansion_20,NGC5055,expansion_addition,True,28,0.72,54.59,53.870000000000005,True,True,True,True,True,True,False,False,True,True,True,True,True,1.0,1.0,True,sensitivity_recovery,False,142.86189186327752,False,sensitivity_recovery,True,True,9.9,55.0,False,4.0,3.2,152.922,True,True,True,28,28,True,False,attemptable,attemptable,future_only,future_only,available,future_only,future_only_not_confirmed,False,34686.15333333333,1.5218437419825472,False,2.215,11.0,False,tier_2_diagnostic,False,,True,True,True,True,True,True,
phase_6b_v1,expansion_20,NGC6015,expansion_addition,True,44,0.34,29.23,28.89,True,True,True,True,True,True,False,False,True,True,True,True,True,1.0,1.0,True,robust_tdf_success,True,7.128933674687928,True,robust_tdf_success,True,True,17.0,60.0,False,6.0,2.3,32.129,True,True,True,44,44,True,False,attemptable,attemptable,future_only,future_only,available,future_only,future_only_not_confirmed,False,2465.6026515151525,327.8252103404139,False,3.3499999999999996,16.0,True,tier_1_primary_candidate,False,0.5636997901412408,True,True,True,True,True,True,
phase_6b_v1,expansion_20,NGC6503,original_controlled_six,True,31,0.76,23.5,22.74,True,True,True,True,True,True,False,False,True,True,True,True,True,1.0,1.0,True,robust_tdf_success,True,9.328832249155612,True,robust_tdf_success,True,True,6.26,74.0,False,6.0,2.16,12.845,True,True,True,31,31,True,False,attemptable,attemptable,future_only,future_only,available,future_only,future_only_not_confirmed,False,3658.17894736842,4.991951550387514,False,2.0,5.0,True,tier_1_primary_candidate,False,0.3502010317601555,True,True,True,True,True,True,
phase_6b_v1,expansion_20,NGC7793,expansion_addition,True,46,0.11,7.87,7.76,True,True,True,True,True,True,False,False,True,True,True,True,True,1.0,1.0,True,robust_tdf_success,True,4.568115977808232,True,robust_tdf_success,True,True,3.61,47.0,False,7.0,1.21,7.05,True,True,True,46,46,True,False,attemptable,attemptable,future_only,future_only,available,future_only,future_only_not_confirmed,False,5991.685454545456,3.582531076946894,False,6.800000000000001,18.0,True,tier_1_primary_candidate,False,0.4476838102261125,True,True,True,True,True,True,
