scenario_name,K_tau,canonical_tdf_failure_at_ml_1,canonical_result,primary_tdf_3knot_prior_result,sensitivity_tdf_5knot_prior_result,tdf_5knot_diagnostic_recovery_survives_ktau,conclusion_changes_only_at_extreme_ktau,ktau_stability_flag,recommended_claim_language,caveat
photometry_uniform_plausible,0.5,True,canonical_tdf_holdout_failure_at_ml_1,baryon_sensitive_competitive,prior_weighted_win_fraction_elevated,True,False,"sensitive_to_ktau,stable_vs_reference_ktau","Canonical failure at M/L=1 unchanged. Under this diagnostic prior, **tdf_5knot** (higher-flexibility sensitivity) carries elevated win fraction — not primary **tdf_3knot** recovery. Not final M/L calibration.","K_tau is a fixed normalization convention; amplitudes refit per K_tau. Not measured, not fitted. NFW/MOND from Phase 4G at K_tau=1 reference grid."
photometry_uniform_plausible,1.0,True,canonical_tdf_holdout_failure_at_ml_1,baryon_sensitive_competitive,prior_weighted_win_fraction_elevated,True,False,reference_ktau,"Canonical failure at M/L=1 unchanged. Under this diagnostic prior, **tdf_5knot** (higher-flexibility sensitivity) carries elevated win fraction — not primary **tdf_3knot** recovery. Not final M/L calibration.","K_tau is a fixed normalization convention; amplitudes refit per K_tau. Not measured, not fitted. NFW/MOND from Phase 4G at K_tau=1 reference grid."
photometry_uniform_plausible,2.0,True,canonical_tdf_holdout_failure_at_ml_1,baryon_sensitive_competitive,prior_weighted_win_fraction_elevated,True,False,stable_vs_reference_ktau,"Canonical failure at M/L=1 unchanged. Under this diagnostic prior, **tdf_5knot** (higher-flexibility sensitivity) carries elevated win fraction — not primary **tdf_3knot** recovery. Not final M/L calibration.","K_tau is a fixed normalization convention; amplitudes refit per K_tau. Not measured, not fitted. NFW/MOND from Phase 4G at K_tau=1 reference grid."
morphology_aware_conservative,0.5,True,canonical_tdf_holdout_failure_at_ml_1,baryon_sensitive_competitive,prior_weighted_win_fraction_elevated,True,False,"sensitive_to_ktau,stable_vs_reference_ktau","Canonical failure at M/L=1 unchanged. Under this diagnostic prior, **tdf_5knot** (higher-flexibility sensitivity) carries elevated win fraction — not primary **tdf_3knot** recovery. Not final M/L calibration.","K_tau is a fixed normalization convention; amplitudes refit per K_tau. Not measured, not fitted. NFW/MOND from Phase 4G at K_tau=1 reference grid."
morphology_aware_conservative,1.0,True,canonical_tdf_holdout_failure_at_ml_1,baryon_sensitive_competitive,prior_weighted_win_fraction_elevated,True,False,reference_ktau,"Canonical failure at M/L=1 unchanged. Under this diagnostic prior, **tdf_5knot** (higher-flexibility sensitivity) carries elevated win fraction — not primary **tdf_3knot** recovery. Not final M/L calibration.","K_tau is a fixed normalization convention; amplitudes refit per K_tau. Not measured, not fitted. NFW/MOND from Phase 4G at K_tau=1 reference grid."
morphology_aware_conservative,2.0,True,canonical_tdf_holdout_failure_at_ml_1,baryon_sensitive_competitive,prior_weighted_win_fraction_elevated,True,False,stable_vs_reference_ktau,"Canonical failure at M/L=1 unchanged. Under this diagnostic prior, **tdf_5knot** (higher-flexibility sensitivity) carries elevated win fraction — not primary **tdf_3knot** recovery. Not final M/L calibration.","K_tau is a fixed normalization convention; amplitudes refit per K_tau. Not measured, not fitted. NFW/MOND from Phase 4G at K_tau=1 reference grid."
canonical_anchor_prior,0.5,True,canonical_tdf_holdout_failure_at_ml_1,canonical_failure_persists_under_prior,prior_weighted_win_fraction_elevated,False,False,"sensitive_to_ktau,stable_vs_reference_ktau","Canonical failure at M/L=1 unchanged. Under this diagnostic prior, **tdf_5knot** (higher-flexibility sensitivity) carries elevated win fraction — not primary **tdf_3knot** recovery. Not final M/L calibration.","K_tau is a fixed normalization convention; amplitudes refit per K_tau. Not measured, not fitted. NFW/MOND from Phase 4G at K_tau=1 reference grid."
canonical_anchor_prior,1.0,True,canonical_tdf_holdout_failure_at_ml_1,canonical_failure_persists_under_prior,limited_prior_support,False,False,reference_ktau,Canonical TDF holdout failure at M/L=1; primary tdf_3knot lacks prior-weighted win support. Lower-bulge cells can still lower RMSE (baryon sensitivity).,"K_tau is a fixed normalization convention; amplitudes refit per K_tau. Not measured, not fitted. NFW/MOND from Phase 4G at K_tau=1 reference grid."
canonical_anchor_prior,2.0,True,canonical_tdf_holdout_failure_at_ml_1,canonical_failure_persists_under_prior,limited_prior_support,False,False,stable_vs_reference_ktau,Canonical TDF holdout failure at M/L=1; primary tdf_3knot lacks prior-weighted win support. Lower-bulge cells can still lower RMSE (baryon sensitivity).,"K_tau is a fixed normalization convention; amplitudes refit per K_tau. Not measured, not fitted. NFW/MOND from Phase 4G at K_tau=1 reference grid."
ngc7814_bulge_sensitivity_diagnostic,0.5,True,canonical_tdf_holdout_failure_at_ml_1,baryon_sensitive_competitive,prior_weighted_win_fraction_elevated,True,False,"sensitive_to_ktau,stable_vs_reference_ktau","Canonical failure at M/L=1 unchanged. Under this diagnostic prior, **tdf_5knot** (higher-flexibility sensitivity) carries elevated win fraction — not primary **tdf_3knot** recovery. Not final M/L calibration.","K_tau is a fixed normalization convention; amplitudes refit per K_tau. Not measured, not fitted. NFW/MOND from Phase 4G at K_tau=1 reference grid."
ngc7814_bulge_sensitivity_diagnostic,1.0,True,canonical_tdf_holdout_failure_at_ml_1,baryon_sensitive_competitive,prior_weighted_win_fraction_elevated,True,False,reference_ktau,"Canonical failure at M/L=1 unchanged. Under this diagnostic prior, **tdf_5knot** (higher-flexibility sensitivity) carries elevated win fraction — not primary **tdf_3knot** recovery. Not final M/L calibration.","K_tau is a fixed normalization convention; amplitudes refit per K_tau. Not measured, not fitted. NFW/MOND from Phase 4G at K_tau=1 reference grid."
ngc7814_bulge_sensitivity_diagnostic,2.0,True,canonical_tdf_holdout_failure_at_ml_1,baryon_sensitive_competitive,prior_weighted_win_fraction_elevated,True,False,stable_vs_reference_ktau,"Canonical failure at M/L=1 unchanged. Under this diagnostic prior, **tdf_5knot** (higher-flexibility sensitivity) carries elevated win fraction — not primary **tdf_3knot** recovery. Not final M/L calibration.","K_tau is a fixed normalization convention; amplitudes refit per K_tau. Not measured, not fitted. NFW/MOND from Phase 4G at K_tau=1 reference grid."
