claim_id,claim_text,status,supporting_tables,supporting_figures,caveats,allowed_language,prohibited_language
A,TDF direct radial reconstruction can be generated for selected SPARC galaxies.,supported,sparc_subset_tau_profiles.csv; outputs/tables/sparc_subset_tau_profiles.csv,outputs/figures/sparc_subset/*_tau_*.png,Phase 2A diagnostic reconstruction only; not an AIC/BIC fitted model.,direct radial τ reconstruction generated for selected galaxies,universal τ-profile discovered; full-SPARC validation
B,TDF knot models outperform tested baselines in-sample on six selected galaxies.,supported_with_caveat,sparc_full_model_comparison.csv; sparc_best_model_summary.csv,outputs/figures/sparc_subset/*_full_model_rotation_comparison.png,"Often tdf_5knot wins in-sample; higher knot count may overfit. Fixed baryons, fixed K_tau, six-galaxy subset.",competitive; outperforms tested baselines in this controlled subset (in-sample),validated on SPARC; universal discovery
C,TDF knot models outperform NFW/MOND under holdout validation.,partially_supported,sparc_tdf_holdout_validation.csv; sparc_tdf_robust_best_model_summary.csv,outputs/reports/sparc_tdf_robustness_audit_report.md,5 of 6 galaxies on even/odd holdout test RMSE; NGC7814 is a clear failure mode.,5 of 6 holdout success; partially supported on this subset,always outperforms; validated on SPARC
D,TDF works for NGC7814.,not_supported,sparc_failure_mode_summary.csv; sparc_tdf_holdout_validation.csv,outputs/figures/sparc_subset/NGC7814_full_model_rotation_comparison.png,In-sample TDF metrics are strong; holdout fails. NFW/MOND better on test RMSE.,NGC7814 is an honest failure mode under holdout,TDF works for NGC7814; TDF validates this galaxy
E,TDF validates on full SPARC.,not_supported_future_work,sparc_subset_selection.csv,none,Only six galaxies in controlled subset.,future work; subset-only benchmark,TDF is validated on SPARC; SPARC validates TDF
F,TDF disproves dark matter.,prohibited,none,none,Rotation-curve consistency test only; no cosmological claim.,does not disprove dark matter,dark matter is disproven; DM is wrong
G,TDF replaces ΛCDM.,prohibited,none,none,Empirical rotation-curve baselines only.,does not replace ΛCDM,ΛCDM is replaced; replaces standard cosmology
H,TDF lensing predictions are confirmed.,not_tested_future_work,none,none,No lensing module in this repository phase.,lensing not tested; future work,lensing confirmed; lensing validates TDF
I,NGC7814 is a canonical TDF holdout failure under fixed SPARC baryons.,supported,sparc_publication_summary_table.csv; sparc_ml_sensitivity_holdout_comparison.csv,outputs/figures/sparc_subset/NGC7814_full_model_rotation_comparison.png,Even/odd holdout at M/L=1; tdf_3knot RMSE ~156 km/s vs NFW ~25 km/s.,canonical failure; explicit holdout failure mode under fixed baryons,NGC7814 is solved; failure removed
J,NGC7814 failure is sensitive to bulge/disk M/L scaling.,supported_diagnostic_sensitivity,sparc_ml_sensitivity_summary.csv; ngc7814_ml_sensitivity_detail.csv,outputs/figures/sparc_subset/ngc7814_ml_sensitivity_inner_residuals.png,Diagnostic grid only; not photometric M/L calibration.,baryonic-decomposition-sensitive failure; diagnostic M/L scaling,M/L calibration confirms TDF; definitively fixes NGC7814
K,M/L scaling definitively fixes NGC7814.,not_supported,ngc7814_ml_scaled_fair_comparison.csv,none,Fair scaled NFW/MOND also improve; canonical label unchanged at M/L=1.,recoverable under some plausible lower-bulge settings (diagnostic),NGC7814 is solved; M/L scaling fixes the failure
L,TDF uniquely benefits from M/L scaling.,not_supported,sparc_ml_scaled_model_comparison.csv; ngc7814_ml_scaled_fair_comparison.csv,outputs/figures/sparc_subset/ngc7814_ml_scaled_fair_comparison.png,Phase 4G fair comparison: NFW and MOND refit on same scaled baryons.,TDF improvement is not unique; baselines improve too,TDF uniquely benefits; NFW/MOND fail after scaling
M,TDF remains stable across the five original success galaxies under plausible M/L scaling.,supported_with_caveat,sparc_ml_scaled_best_model_summary.csv; sparc_post_ml_results_summary_table.csv,outputs/figures/sparc_subset/ml_scaled_success_stability.png,"Plausible band disk [0.7,1.3], bulge [0.5,1.0]; tdf_5knot often best at scaled scales.",TDF remains stable in the five success galaxies (plausible diagnostic scaling),universal stability; photometry-calibrated M/L
N,The current benchmark has a photometry-calibrated M/L model.,not_supported_future_work,none,none,Phase 4F/4G use a diagnostic Cartesian M/L grid only.,future work: photometry-informed M/L priors,M/L calibration confirms TDF; final M/L model
