galaxy_id,K_tau,scenario_name,model_name,prior_weighted_mean_rmse,best_plausible_rmse,fraction_prior_weight_model_wins,fraction_prior_weight_tdf_beats_nfw,fraction_prior_weight_tdf_beats_mond,ktau_stability_flag,caveat
DDO154,0.5,photometry_uniform_plausible,tdf_3knot,3.953560448463376,3.5332010474244693,0.0,0.3333333333333333,0.6666666666666667,sensitive_to_ktau,"K_tau is a fixed normalization convention; amplitudes refit per K_tau. Not measured, not fitted. NFW/MOND from Phase 4G at K_tau=1 reference grid."
DDO154,0.5,photometry_uniform_plausible,tdf_5knot,3.746146309161728,3.0432939903744254,0.3333333333333333,0.3333333333333333,0.6666666666666667,sensitive_to_ktau,"K_tau is a fixed normalization convention; amplitudes refit per K_tau. Not measured, not fitted. NFW/MOND from Phase 4G at K_tau=1 reference grid."
DDO154,0.5,morphology_aware_conservative,tdf_3knot,3.9320675677061065,3.5332010474244693,0.0,0.26487834558053774,0.7351216544194623,sensitive_to_ktau,"K_tau is a fixed normalization convention; amplitudes refit per K_tau. Not measured, not fitted. NFW/MOND from Phase 4G at K_tau=1 reference grid."
DDO154,0.5,morphology_aware_conservative,tdf_5knot,3.7400719789992443,3.0432939903744254,0.26487834558053774,0.26487834558053774,0.7351216544194623,sensitive_to_ktau,"K_tau is a fixed normalization convention; amplitudes refit per K_tau. Not measured, not fitted. NFW/MOND from Phase 4G at K_tau=1 reference grid."
DDO154,0.5,canonical_anchor_prior,tdf_3knot,3.885606628074724,3.5332010474244693,0.0,0.10618392227929817,0.890782880805526,sensitive_to_ktau,"K_tau is a fixed normalization convention; amplitudes refit per K_tau. Not measured, not fitted. NFW/MOND from Phase 4G at K_tau=1 reference grid."
DDO154,0.5,canonical_anchor_prior,tdf_5knot,3.729756188959984,3.0432939903744254,0.10618392227929817,0.10618392227929817,0.890782880805526,sensitive_to_ktau,"K_tau is a fixed normalization convention; amplitudes refit per K_tau. Not measured, not fitted. NFW/MOND from Phase 4G at K_tau=1 reference grid."
IC2574,0.5,photometry_uniform_plausible,tdf_3knot,3.588497504997207,3.3622451057328235,0.0,1.0,1.0,moderate_ktau_variation,"K_tau is a fixed normalization convention; amplitudes refit per K_tau. Not measured, not fitted. NFW/MOND from Phase 4G at K_tau=1 reference grid."
IC2574,0.5,photometry_uniform_plausible,tdf_5knot,2.8687089641003682,2.3849286695483602,1.0,1.0,1.0,sensitive_to_ktau,"K_tau is a fixed normalization convention; amplitudes refit per K_tau. Not measured, not fitted. NFW/MOND from Phase 4G at K_tau=1 reference grid."
IC2574,0.5,morphology_aware_conservative,tdf_3knot,3.5854133407821376,3.3622451057328235,0.0,1.0,1.0,moderate_ktau_variation,"K_tau is a fixed normalization convention; amplitudes refit per K_tau. Not measured, not fitted. NFW/MOND from Phase 4G at K_tau=1 reference grid."
IC2574,0.5,morphology_aware_conservative,tdf_5knot,2.8624464769865545,2.3849286695483602,1.0,1.0,1.0,sensitive_to_ktau,"K_tau is a fixed normalization convention; amplitudes refit per K_tau. Not measured, not fitted. NFW/MOND from Phase 4G at K_tau=1 reference grid."
IC2574,0.5,canonical_anchor_prior,tdf_3knot,3.580710799404965,3.3622451057328235,0.0,1.0,1.0,moderate_ktau_variation,"K_tau is a fixed normalization convention; amplitudes refit per K_tau. Not measured, not fitted. NFW/MOND from Phase 4G at K_tau=1 reference grid."
